x,y,z,Time_in_sec,Intensities,2DscanId,PointId,nx,ny,nz,densities
-0.476929 , -1.3861 , 0.667021 , 1.32293e+09,-1,0,80,0.93474,-0.0325379,-0.35384,8.14083
0.560357 , -1.01124 , -0.183928 , 1.32293e+09,-1,1,318,0.0147113,-0.0279679,0.999501,1820
0.662565 , 0.207646 , -0.231243 , 1.32293e+09,-1,4,599,0.558765,0.0147803,0.829194,191.153
0.750728 , 0.273753 , -0.23991 , 1.32293e+09,-1,9,610,0.0188295,0.000937654,0.999822,5383.54
0.78581 , 0.724644 , -0.24027 , 1.32293e+09,-1,11,695,-0.00343844,-0.00161123,0.999993,1944.36
0.533898 , -0.819491 , -0.0722554 , 1.32293e+09,-1,12,327,-0.0240385,-0.99494,0.0975581,309.551
0.816182 , -0.462923 , -0.228059 , 1.32293e+09,-1,14,435,0.00423758,0.999728,-0.0229503,2263.24
-0.510821 , -1.50062 , 0.546551 , 1.32293e+09,-1,18,93,0.999961,-0.000703956,0.00881492,1.97621
-0.500878 , 0.858186 , 0.546451 , 1.32293e+09,-1,18,1040,-0.999997,-0.000548558,0.00247044,73.4172
1.03078 , -1.4825 , -0.290477 , 1.32293e+09,-1,19,332,-0.00789809,0.0195646,0.999777,945.04
1.27949 , -1.4942 , -0.274541 , 1.32293e+09,-1,28,351,-0.0888938,-0.981993,0.166698,70.6585
1.31474 , -0.269555 , -0.239612 , 1.32293e+09,-1,31,497,-0.664535,-0.557901,-0.497132,379.712
1.64032 , 0.309257 , -0.240316 , 1.32293e+09,-1,37,582,-0.00160002,0.00267739,0.999995,1138.64
1.66233 , 0.527518 , -0.227489 , 1.32293e+09,-1,38,609,0.129583,0.937278,0.323602,147.084
1.72101 , -0.465396 , -0.207928 , 1.32293e+09,-1,40,482,0.00348873,0.999989,-0.00303608,530.685
1.81277 , 0.458426 , -0.231099 , 1.32293e+09,-1,40,596,0.318221,0.921907,0.220959,17.9465
1.91157 , 0.242729 , -0.237367 , 1.32293e+09,-1,41,569,-0.00144073,0.000472686,0.999999,136.333
1.79477 , 0.461233 , -0.206284 , 1.32293e+09,-1,41,597,0.318221,0.921907,0.220959,17.9465
1.48013 , 0.404592 , -0.0589983 , 1.32293e+09,-1,45,595,0.156111,-0.976688,-0.147345,278.44
2.40697 , -0.451261 , -0.209839 , 1.32293e+09,-1,47,499,0.999125,-0.0410611,-0.00796391,35.0772
2.41871 , 0.249149 , -0.210714 , 1.32293e+09,-1,47,564,0.192321,-0.00200008,0.98133,6619.19
1.34583 , 0.607025 , 0.0144855 , 1.32293e+09,-1,48,637,-0.35662,0.904674,0.233209,277.213
1.94362 , 0.48155 , -0.0496077 , 1.32293e+09,-1,50,596,-0.682286,-0.726844,0.0786397,232.169
1.93673 , 0.684208 , -0.0480863 , 1.32293e+09,-1,50,618,0.0227225,0.99969,-0.010167,17.0241
1.32864 , -0.406888 , 0.0901289 , 1.32293e+09,-1,53,473,-0.005598,0.999979,0.00329659,339.995
3.68593 , 0.376397 , -0.212388 , 1.32293e+09,-1,53,564,0.999656,0.0204619,0.0164165,85.5635
3.54739 , 0.616316 , -0.194032 , 1.32293e+09,-1,53,580,-0.786172,-0.595163,-0.166477,24.9811
3.55567 , 0.666119 , -0.195 , 1.32293e+09,-1,53,583,-0.957771,-0.089048,-0.273395,25.1642
3.9772 , 0.370468 , -0.207531 , 1.32293e+09,-1,54,562,0.117496,-0.00200009,0.993071,407.191
2.3994 , -0.166297 , 0.0777292 , 1.32293e+09,-1,58,525,0.999663,-0.0257744,0.00314828,2829.77
2.40725 , -0.543371 , 0.108248 , 1.32293e+09,-1,59,490,0.999125,-0.0410611,-0.00796391,35.0772
2.41377 , -0.220227 , 0.108482 , 1.32293e+09,-1,59,520,0.995067,-0.098914,-0.0076192,302.755
2.40438 , -0.542491 , 0.133492 , 1.32293e+09,-1,60,490,0.999125,-0.0410611,-0.00796391,35.0772
2.49338 , -0.128922 , 0.129602 , 1.32293e+09,-1,60,529,0.308422,-0.951191,0.0105439,19.6765
0.837627 , 1.2076 , 0.220067 , 1.32293e+09,-1,60,762,-0.318186,-0.77811,0.541573,307.671
1.02206 , 0.970632 , 0.241892 , 1.32293e+09,-1,63,715,-0.0322058,-8.39788e-05,0.999481,415.584
0.992733 , 1.24898 , 0.243082 , 1.32293e+09,-1,63,747,0.000615146,0.999951,0.0098402,55.0841
3.54878 , 0.724688 , 0.261758 , 1.32293e+09,-1,65,587,0.985913,0.16723,0.00322231,42.3041
1.25768 , -1.47275 , 0.301275 , 1.32293e+09,-1,68,343,0.537361,0.563134,0.627792,12.2902
3.54734 , 0.549158 , 0.382144 , 1.32293e+09,-1,68,576,0.0413938,0.998599,0.0329714,3.46763
3.54886 , 0.565275 , 0.382227 , 1.32293e+09,-1,68,577,-0.999892,0.0146913,0.00106512,7.41298
-0.491964 , 0.507496 , 0.246533 , 1.32293e+09,-1,68,1077,0.595919,0.802223,0.0363223,1168.09
2.42301 , -0.136056 , 0.36842 , 1.32293e+09,-1,69,528,0.998119,-0.0611234,-0.00465586,83.3717
2.65568 , 0.567452 , 0.38007 , 1.32293e+09,-1,69,589,0.0413938,0.998599,0.0329714,3.46763
2.16478 , 0.676209 , 0.404322 , 1.32293e+09,-1,71,600,0.0227225,0.99969,-0.010167,17.0241
3.55998 , 0.473536 , 0.569065 , 1.32293e+09,-1,73,558,0.999414,-0.0341997,0.00146145,2620.69
2.18427 , 0.68364 , 0.451253 , 1.32293e+09,-1,73,597,0.0227225,0.99969,-0.010167,17.0241
1.61096 , 0.520056 , 0.401652 , 1.32293e+09,-1,73,599,-0.18189,-0.966047,-0.183494,241.116
2.4201 , -0.352222 , 0.546914 , 1.32293e+09,-1,76,508,-0.999984,0.00563061,0.000719126,39.3744
1.12722 , 1.01199 , 0.409378 , 1.32293e+09,-1,77,694,0.0195055,-0.109187,0.99383,2368.95
1.10382 , 1.27743 , 0.406902 , 1.32293e+09,-1,77,723,0.00691749,-0.983889,0.178645,100.191
1.50054 , -0.400652 , 0.502195 , 1.32293e+09,-1,80,482,0.00157062,-0.99999,0.00417955,90.3072
1.19706 , 0.456855 , 0.455298 , 1.32293e+09,-1,80,593,0.947385,0.181101,-0.263941,1312.54
0.708312 , -0.825565 , 0.407004 , 1.32293e+09,-1,84,347,-0.0131984,-0.999911,-0.00195809,14.3018
3.54905 , 0.480886 , 0.994446 , 1.32293e+09,-1,84,543,-0.999892,0.0146913,0.00106512,7.41298
3.542 , 0.530842 , 1.07094 , 1.32293e+09,-1,86,574,0.0413938,0.998599,0.0329714,3.46763
0.714004 , -0.832058 , 0.432032 , 1.32293e+09,-1,87,348,-0.00486043,-0.999988,-0.000725704,6.90684
0.769957 , -0.89916 , 0.453938 , 1.32293e+09,-1,88,348,-0.00393724,-0.991425,0.130618,10.3352
1.24233 , 0.322936 , 0.574557 , 1.32293e+09,-1,88,597,-0.302468,0.896726,-0.323102,197.336
2.41037 , -0.557877 , 0.973617 , 1.32293e+09,-1,92,491,0.99893,-0.0462371,0.00071176,46.772
3.5528 , 0.643527 , 1.35313 , 1.32293e+09,-1,93,580,-0.999955,0.00930449,0.00178501,315.645
3.5291 , 0.722803 , 1.34604 , 1.32293e+09,-1,93,585,-0.187103,0.982184,-0.0175317,59.226
2.42304 , -0.415745 , 1.06103 , 1.32293e+09,-1,95,504,0.986677,-0.162523,0.00739469,270.037
1.19144 , -0.406373 , 0.669359 , 1.32293e+09,-1,96,470,0.837223,0.516111,0.180793,0.698633
2.53569 , -0.127392 , 1.12785 , 1.32293e+09,-1,96,530,0.417227,-0.908764,0.00832373,40.9869
1.32749 , -1.54872 , 0.729047 , 1.32293e+09,-1,97,351,-0.0132476,-0.470637,0.882227,4.38234
2.40336 , -0.711389 , 1.13814 , 1.32293e+09,-1,98,479,0.997886,0.0649342,-0.00249278,8.3744
2.40625 , -0.700158 , 1.13921 , 1.32293e+09,-1,98,480,0.997024,0.0769933,-0.00398177,20.4524
2.41496 , -0.25841 , 1.14332 , 1.32293e+09,-1,98,518,-0.909568,-0.415547,0.0026548,2048.53
2.33889 , -0.863532 , 1.14221 , 1.32293e+09,-1,99,465,-0.0208897,-0.147002,0.988916,425.417
3.54375 , 0.486482 , 1.598 , 1.32293e+09,-1,99,570,-0.329443,0.909331,-0.254136,4.64273
3.54333 , 0.520184 , 1.59791 , 1.32293e+09,-1,99,572,-0.329443,0.909331,-0.254136,4.64273
0.396449 , 0.705046 , 0.415401 , 1.32293e+09,-1,99,761,-0.243262,-0.124322,0.96196,13685.5
2.4055 , -0.657311 , 1.19716 , 1.32293e+09,-1,100,484,0.994173,0.10779,-0.000958905,5.68718
3.54382 , 0.524658 , 1.68451 , 1.32293e+09,-1,101,572,-0.329443,0.909331,-0.254136,4.64273
2.41608 , -0.605231 , 1.26045 , 1.32293e+09,-1,102,489,0.99984,0.0178485,0.00106837,15.0742
2.44804 , -0.138367 , 1.3051 , 1.32293e+09,-1,103,529,-0.378961,0.925409,0.00274236,107.213
1.20115 , 0.69752 , 0.777319 , 1.32293e+09,-1,103,649,-0.331102,-0.410925,0.849419,9.83451
3.54393 , 0.517635 , 1.87216 , 1.32293e+09,-1,105,571,-0.144127,0.053581,0.988108,5.46216
