x1,y1,z1,x2,y2,z2
-0.731172,-0.482441,0.331092,-0.73045,-0.483058,0.33272
-0.290449,-0.5476,-0.021597,-0.292999,-0.539275,-0.0207717
-0.446756,0.568003,0.0650096,-0.446587,0.569117,0.0677835
-0.922672,0.516339,0.440125,-0.917719,0.518228,0.441039
-0.893997,-0.4708,0.449853,-0.890413,-0.476781,0.445133
-0.721958,-0.482872,0.318298,-0.719484,-0.483374,0.314955
-0.281806,-0.548448,-0.017012,-0.27892,-0.546457,-0.0129928
-0.931137,0.585647,0.439835,-0.930489,0.586937,0.444595
-0.423658,-0.533861,0.0944793,-0.424422,-0.535055,0.0954811
-0.94631,0.532293,0.440104,-0.960819,0.53036,0.442621
-0.556272,-0.489396,0.195563,-0.511574,-0.524703,0.198133
-0.149707,-0.553663,-0.088282,-0.14753,-0.554462,-0.0881846
-0.835181,0.668101,0.353262,-0.841096,0.665531,0.3538
-0.938221,-0.466166,0.45362,-0.93453,-0.474317,0.458406
-0.603117,0.570257,0.195543,-0.578042,0.598069,0.172372
-0.790604,-0.471952,0.352104,-0.793209,-0.482006,0.354693
-0.42444,0.570288,0.0791791,-0.422707,0.567044,0.0784444
-0.492083,-0.533225,0.1597,-0.493664,-0.531321,0.167619
-0.11964,-0.566673,-0.0785483,-0.11718,-0.559686,-0.0833256
-0.258973,0.41116,-0.0185544,-0.276878,0.420942,-0.0189925
-0.42822,-0.534846,0.121594,-0.423912,-0.531548,0.119868
-0.990774,0.527453,0.4388,-0.998822,0.533138,0.442219
-0.82861,-0.469442,0.361585,-0.831604,-0.476053,0.363235
-0.448926,-0.533306,0.142499,-0.450842,-0.533374,0.147005
-0.865647,0.669974,0.352224,-0.849002,0.677911,0.355448
-0.547184,-0.49434,0.199687,-0.511574,-0.524703,0.198133
-0.579574,0.56411,0.190115,-0.567254,0.591925,0.174065
-0.861757,0.505371,0.351787,-0.876384,0.496593,0.351986
-0.85802,0.489696,0.35008,-0.841821,0.497339,0.354297
-0.802464,-0.472556,0.339162,-0.79963,-0.479517,0.338578
-0.597083,-0.482296,0.228473,-0.58917,-0.489381,0.262701
-0.865799,0.507968,0.348828,-0.880225,0.503902,0.352742
-0.867592,0.493851,0.35015,-0.876384,0.496593,0.351986
-0.863909,0.445814,0.349363,-0.879094,0.453273,0.352619
0.277886,0.0724941,-0.245358,0.573678,0.0726557,-0.211035
0.280029,0.0774034,-0.246606,0.573678,0.0726557,-0.211035
0.281273,0.0822206,-0.247379,0.573678,0.0726557,-0.211035
-0.875427,0.54875,0.350338,-0.879826,0.540169,0.352588
-0.870269,0.467631,0.349597,-0.877148,0.457143,0.35222
-0.906999,0.250934,0.374213,-0.917801,0.254501,0.380944
-0.780415,-0.467374,0.32303,-0.772398,-0.480919,0.325006
0.304705,0.065945,-0.246653,0.573678,0.0726557,-0.211035
