x1,y1,z1,x2,y2,z2
1.02456,-0.969869,-0.249863,1.02321,-0.96592,-0.243688
0.935766,-0.847551,-0.250731,0.92454,-0.842644,-0.242265
0.879719,-0.777728,-0.247585,0.880619,-0.77501,-0.241632
0.881196,-0.772481,-0.251215,0.882859,-0.770057,-0.242913
0.872741,-0.761761,-0.250834,0.883705,-0.763879,-0.243387
0.846588,-0.735609,-0.246148,0.841996,-0.728681,-0.242315
0.755089,-0.60613,-0.248765,0.754175,-0.607676,-0.245928
0.741706,-0.59466,-0.24541,0.743482,-0.587636,-0.238573
0.716229,-0.552572,-0.249159,0.711362,-0.553161,-0.237983
0.649165,-0.471884,-0.243963,0.655537,-0.469907,-0.238773
0.538805,-0.322656,-0.243645,0.600972,-0.326029,-0.232778
0.499324,-0.273026,-0.241652,0.593811,-0.265739,-0.226581
0.498278,-0.268881,-0.243016,0.593811,-0.265739,-0.226581
-0.202539,0.690469,-0.246856,-0.201968,0.688335,-0.245402
-0.229587,0.728268,-0.247391,-0.232424,0.731509,-0.250065
-0.232992,0.730651,-0.246269,-0.232424,0.731509,-0.250065
-0.238251,0.746457,-0.250605,-0.23684,0.744229,-0.247119
-0.241615,0.749676,-0.24993,-0.245368,0.746025,-0.249602
-0.303427,0.833083,-0.249665,-0.299022,0.833557,-0.252949
-0.314051,0.859849,-0.25584,-0.310965,0.864259,-0.250347
-0.43105,1.02767,-0.260314,-0.42547,1.02397,-0.261301
-0.440765,1.03761,-0.258688,-0.441004,1.03839,-0.259411
-0.445419,1.03938,-0.256408,-0.441004,1.03839,-0.259411
-0.455616,1.05287,-0.256233,-0.457799,1.05534,-0.258171
-0.461324,1.06553,-0.25869,-0.465812,1.06297,-0.257051
-0.467212,1.0791,-0.261479,-0.466235,1.07436,-0.257511
-0.47257,1.08627,-0.261424,-0.476724,1.08796,-0.258984
-0.477319,1.08702,-0.258574,-0.476724,1.08796,-0.258984
-0.482359,1.0905,-0.256887,-0.476724,1.08796,-0.258984
-0.494076,1.11113,-0.25925,-0.498418,1.11601,-0.26169
-0.50021,1.1228,-0.260924,-0.49726,1.12413,-0.260395
-0.51204,1.14061,-0.261798,-0.508344,1.13862,-0.261651
-0.536329,1.17513,-0.262566,-0.530779,1.17926,-0.263726
-0.541779,1.17843,-0.260514,-0.544719,1.17721,-0.267497
-0.562178,1.21306,-0.263983,-0.56756,1.21447,-0.265319
-0.567801,1.21629,-0.261773,-0.56756,1.21447,-0.265319
-0.588148,1.24517,-0.262402,-0.593703,1.2384,-0.268563
-0.602225,1.26525,-0.262886,-0.59896,1.263,-0.262223
-0.608257,1.26927,-0.260794,-0.6148,1.27413,-0.265413
-0.614664,1.2751,-0.25936,-0.6148,1.27413,-0.265413
-0.640814,1.3257,-0.266912,-0.642993,1.32538,-0.267352
-0.647507,1.33144,-0.265237,-0.642993,1.32538,-0.267352
-0.655204,1.34178,-0.265179,-0.657929,1.34674,-0.269056
-0.662581,1.35024,-0.2644,-0.657929,1.34674,-0.269056
-0.670419,1.36053,-0.264221,-0.675124,1.37238,-0.271946
-0.678535,1.37171,-0.264302,-0.675124,1.37238,-0.271946
-2.6577,1.22857,1.15231,-2.63749,1.21901,1.15506
-2.78589,1.06707,1.32024,-2.7516,1.05398,1.33738
-0.385417,-2.3049,1.36779,-0.376273,-2.28858,1.36663
-0.080502,-2.51983,1.26893,-0.0611101,-2.46797,1.25588
0.120242,-2.67018,1.20823,0.159984,-2.61889,1.21538
0.875812,-1.31088,0.0237014,0.885956,-1.32091,0.0244654
1.03893,-0.977041,-0.252077,1.0282,-0.979331,-0.2462
1.01649,-0.948618,-0.25106,1.02184,-0.947694,-0.242969
0.932311,-0.843577,-0.246466,0.92454,-0.842644,-0.242265
0.911085,-0.818449,-0.244632,0.903476,-0.827473,-0.242738
0.901976,-0.800703,-0.247303,0.901577,-0.796656,-0.241598
0.881163,-0.776655,-0.245212,0.880619,-0.77501,-0.241632
0.874393,-0.766823,-0.24553,0.882859,-0.770057,-0.242913
0.847197,-0.734093,-0.243446,0.841996,-0.728681,-0.242315
0.742295,-0.593207,-0.242679,0.743482,-0.587636,-0.238573
0.739806,-0.586879,-0.244143,0.734604,-0.584284,-0.243412
0.715226,-0.55546,-0.243173,0.711362,-0.553161,-0.237983
0.714289,-0.550031,-0.245236,0.711362,-0.553161,-0.237983
0.665403,-0.481236,-0.246439,0.660008,-0.477985,-0.242277
0.5086,-0.277659,-0.241808,0.593811,-0.265739,-0.226581
0.510993,-0.274223,-0.245128,0.593811,-0.265739,-0.226581
0.50653,-0.269295,-0.244566,0.593811,-0.265739,-0.226581
0.400271,-0.134083,-0.240065,0.594278,-0.126981,-0.226612
0.376331,-0.104526,-0.238602,0.594278,-0.126981,-0.226612
-0.194158,0.68905,-0.248032,-0.192465,0.689141,-0.250049
-0.224521,0.728604,-0.247202,-0.224794,0.727252,-0.245122
-0.233627,0.743419,-0.24842,-0.23684,0.744229,-0.247119
-0.237219,0.744938,-0.246752,-0.23684,0.744229,-0.247119
-0.265958,0.793428,-0.251455,-0.265902,0.794784,-0.254295
-0.301716,0.839399,-0.250173,-0.297586,0.836817,-0.250213
-0.429034,1.01963,-0.253831,-0.428185,1.01804,-0.253905
-0.439015,1.03411,-0.254293,-0.441004,1.03839,-0.259411
-0.454832,1.06122,-0.257091,-0.455183,1.05906,-0.255034
-0.4595,1.06202,-0.254339,-0.455183,1.05906,-0.255034
-0.464507,1.06645,-0.253163,-0.465812,1.06297,-0.257051
-0.469898,1.07452,-0.253536,-0.466235,1.07436,-0.257511
-0.475905,1.08807,-0.256216,-0.476724,1.08796,-0.258984
-0.487821,1.11149,-0.259811,-0.486675,1.11049,-0.259283
-0.493701,1.12135,-0.260743,-0.49726,1.12413,-0.260395
-0.498898,1.12478,-0.25894,-0.49726,1.12413,-0.260395
-0.504337,1.13002,-0.257875,-0.506318,1.12281,-0.259519
-0.524293,1.17137,-0.264958,-0.520097,1.16558,-0.263084
-0.529593,1.17379,-0.262585,-0.530779,1.17926,-0.263726
-0.534775,1.17527,-0.259825,-0.530779,1.17926,-0.263726
-0.540362,1.17949,-0.258151,-0.544719,1.17721,-0.267497
-0.55387,1.20259,-0.260519,-0.551387,1.20404,-0.263233
-0.560028,1.20952,-0.259805,-0.56756,1.21447,-0.265319
-0.565788,1.21365,-0.257975,-0.56756,1.21447,-0.265319
-0.602637,1.27647,-0.264322,-0.612197,1.28095,-0.263088
-0.608205,1.27771,-0.261183,-0.612197,1.28095,-0.263088
-0.61395,1.27984,-0.258371,-0.612197,1.28095,-0.263088
-0.646269,1.33343,-0.26319,-0.638584,1.32888,-0.263599
-0.653778,1.34284,-0.262801,-0.657929,1.34674,-0.269056
-0.661158,1.3513,-0.262026,-0.656192,1.3563,-0.267587
-0.669196,1.36251,-0.262172,-0.675124,1.37238,-0.271946
-0.677113,1.37277,-0.261929,-0.670879,1.37686,-0.268479
-0.714085,1.43294,-0.266884,-0.717619,1.43684,-0.264614
-0.699673,1.09651,-0.109522,-0.715501,1.09848,-0.105331
-2.44444,1.53071,0.851326,-2.43582,1.52961,0.854106
-2.62458,1.27364,1.10046,-2.61052,1.27431,1.11378
-2.68341,1.19359,1.17988,-2.66182,1.19081,1.19372
-0.152784,-2.46879,1.2706,-0.150088,-2.41839,1.27625
-0.100805,-2.50834,1.25553,-0.0611101,-2.46797,1.25588
